Title,Rooms,Price,Type,Location,Link,Broker,Bedrooms,Bathrooms,Neighborhood,City
"COND. PRILA, NUEVO, GENERADOR, VISTA!",3 Cuartos | 2 Baños,"$895,000",Apartamento,"Condominio-Prila , San Juan - Condado-Miramar",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837305,Prila de CARMEN RODRIGUEZ REALTY,3,2,Condominio-Prila,San Juan - Condado-Miramar
PLAYA CORCEGA RINCON SUPER NUEVO PREC...,2 Cuartos | 1 Baños,"$310,000",Apartamento ,"Condominio-Costa Corcega , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4806415,Costa Corcega de TRANS GLOBAL REALTY GROUP,2,1,Condominio-Costa Corcega,Rincón
Cond. Aquablue - Stunning Garden Unit ,2 Cuartos | 2 Baños,"$895,000",Apartamento,"Condominio-Aquablue , San Juan - Hato Rey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817217,Aquablue de Elite Realty LLC,2,2,Condominio-Aquablue,San Juan - Hato Rey
 Piñones - DEEDED OCEAN FRONT PROPETY ,,"$1,050,000",Solar ,"Barrio-Pinones , Loíza",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4608100,Pinones de BM REALTY,0,0,Barrio-Pinones,Loíza
Urb Alturas de la Placita ,>= 6 Cuartos | 3 Baños,"$160,000",Casa,"Urbanizacion-Alturas De La Placita , Juncos",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838403,No Broker,6,3,Urbanizacion-Alturas De La Placita,Juncos
MAR CHIQUITA OCEAN VIEW,3 Cuartos | 2 Baños,"$365,000",Apt/WalkUp ,"Condominio-Mar Chiquita Ocean View , Manatí",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817386,Mar Chiquita Ocean View de PUERTO RICO PROPERTY MARKET,3,2,Condominio-Mar Chiquita Ocean View,Manatí
VISTA AL MAR 3 H Y 1 B.  CAMINAS A LA...,3 Cuartos | 2 Baños,"$499,995",Casa,"Sector-Crash Boat , Aguadilla",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4804657,Crash Boat de 1RUIZ REALTY GROUP,3,2,Sector-Crash Boat,Aguadilla
**NUEVO EN EL MERCADO** EXCELENTE OPO...,5 Cuartos | 2 Baños,"$249,900",Casa ,"Barrio-Dona Elena , Comerío",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4824668,Dona Elena de BLUE PRINT FIRM INC.,5,2,Barrio-Dona Elena,Comerío
Beach Village IV,2 Cuartos | 2 Baños,"$539,000",Apartamento,"Condominio-Beach Village , Humacao - Palmas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4824641,Beach Village de BLACKTIE,2,2,Condominio-Beach Village,Humacao - Palmas
SABANA HOYOS- VENTA CASH,4 Cuartos | 2 Baños,"$104,995",Casa ,"Barrio-Sabana Hoyos , Arecibo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838029,Sabana Hoyos de My House Realty,4,2,Barrio-Sabana Hoyos,Arecibo
Nueva en el Mercado 2 niveles - 4 hab...,4 Cuartos | 2 Baños,"$290,000",Casa,"Urbanizacion-Mansiones De Juncos , Juncos",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833899,Mansiones De Juncos de ODV Realty,4,2,Urbanizacion-Mansiones De Juncos,Juncos
Kings Court PRICE IMPROVEMENT,2 Cuartos | 2 Baños,"$650,000",Apartamento ,"Condominio-Kings Court 80 , San Juan - Santurce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4819788,Kings Court 80 de PUERTO RICO CORPORATE RENTALS,2,2,Condominio-Kings Court 80,San Juan - Santurce
Urb Country Club 4ta sección,4 Cuartos | 4 Baños,"$275,000",Casa,"Urbanizacion-Country Club , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816265,Country Club de JK Realty,4,4,Urbanizacion-Country Club,Carolina
Jardines De Caparra 4hab-2.5 baños  $...,4 Cuartos | 2 Baños,"$159,900",Casa ,"Urbanizacion-Jardines De Caparra , Bayamón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838242,Jardines De Caparra de Palito Realty,4,2,Urbanizacion-Jardines De Caparra,Bayamón
Local Comercial en el Corazon de Isla...,5 Cuartos | 2 Baños,"$425,000",Comercial,"Condominio-Tropicana , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4822468,Tropicana de HEYLIGER REAL ESTATE,5,2,Condominio-Tropicana,Carolina - Isla Verde
 La casa que buscas y perfecta para a...,3 Cuartos | 1 Baños,"$159,000",Casa ,"Barrio-Cintron, Luis M. Cintron , Fajardo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4815046,"Cintron, Luis M. Cintron de ODV Realty",3,1,Barrio-Cintron,"Luis M. Cintron , Fajardo"
"FOR SALE|17 ACRES |BO. CIDRAL, SAN SE...",,"$295,000",Finca,"Barrio-Cidral , San Sebastián",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817221,Cidral de InvEstate Puerto Rico,0,0,Barrio-Cidral,San Sebastián
Unique investment opportunity! COCO B...,4 Cuartos | 3 Baños,"$599,000",Casa ,"Urbanizacion-Coco Beach , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817413,Coco Beach de Enjolie Hernández Real Estate,4,3,Urbanizacion-Coco Beach,Río Grande
Se Vende! Casa Bo. Palo Seco en Mauna...,3 Cuartos | 2 Baños,"$135,000",Casa,"Barrio-Palo Seco , Maunabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838398,Palo Seco de Betzaida Ortiz  Real Estate,3,2,Barrio-Palo Seco,Maunabo
"¡EXCELENTE PROPIEDAD de 5 unds, conve...",>=6 Cuartos | 5 Baños,"$1,500,000",Casa ,"Urbanizacion-Extension Villamar , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4802995,Extension Villamar de Team Realty,6,5,Urbanizacion-Extension Villamar,Carolina - Isla Verde
"Sector Matojo Quebrada Grande, Trujil...",,"$183,000",Solar,"Barrio-Quebrada Grande , Trujillo Alto",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4631487,Quebrada Grande de MASTER PROPERTIES,0,0,Barrio-Quebrada Grande,Trujillo Alto
*Rebajada! Finca desarrollada con Per...,,"$350,000",Finca ,"Urbanizacion-Freire , Cidra",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4770227,Freire de Island Vibes Realty,0,0,Urbanizacion-Freire,Cidra
Casa * Bo. Fronto * Ciales,3 Cuartos | 1 Baños,"$50,000",Casa,"Barrio-Fronton , Ciales",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838393,Fronton de SKY REALTY (zona 2),3,1,Barrio-Fronton,Ciales
Urb. Los Montes en Dorado ,4 Cuartos | 2 Baños,"$465,000",Casa ,"Urbanizacion-Los Montes De Dorado , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4821516,Los Montes De Dorado de Orlando Rios,4,2,Urbanizacion-Los Montes De Dorado,Dorado
Negocio de ferreteria operando,2 Baños,"$1,350,000",Comercial,"Barrio-Borinquen , Caguas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4730231,Borinquen de Batista Realty Group,0,0,Barrio-Borinquen,Caguas
***BARRIO BARROS - 75 CUERDAS***,,"$590,000",Finca ,"Barrio-Barros , Orocovis",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=3331615,Barros de Kokopelli Real Estate,0,0,Barrio-Barros,Orocovis
"Big Lot in Hacienda del Dorado, Toa A...",,"$249,999",Solar,"Urbanizacion-Hacienda Del Dorado , Toa Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833615,Hacienda Del Dorado de RE/MAX Dorado Realty,0,0,Urbanizacion-Hacienda Del Dorado,Toa Alta
Solar 5 minutos de en Boquerón 1265 m...,,"$88,000",Solar ,"Barrio-Boqueron , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838396,No Broker,0,0,Barrio-Boqueron,Cabo Rojo
One of Two Lots Left Exclusive Puntas...,,"$498,000",Solar,"Barrio-Puntas , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4823643,Puntas de Fox Realty,0,0,Barrio-Puntas,Rincón
Prime land 25 acres near the coast RT...,,"$675,000",Comercial ,"Barrio-Vallas Torres Mercedita , Ponce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4827031,Vallas Torres Mercedita de Guarantee Realty,0,0,Barrio-Vallas Torres Mercedita,Ponce
"Precio Reducido 32 Cuerdas, Bo. Ciene...",,"$130,000",Finca,"Barrio-Cieneguetas , Vega Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4624298,Cieneguetas de Home Connection,0,0,Barrio-Cieneguetas,Vega Alta
Urb El Comandante Ave San Marcos CL ,3 Cuartos | 1 Baños,"$225,000",Comercial ,"Urbanizacion-El Comandante , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4829454,El Comandante de PR Broker,3,1,Urbanizacion-El Comandante,Carolina
"UNICA residencia, Toa Alta - DtMF",5 Cuartos | > Baños,"$695,000",Casa,"Urbanizacion-Haciendas El Paraiso , Toa Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838397,No Broker,0,0,Urbanizacion-Haciendas El Paraiso,Toa Alta
Solar 2130 MC pasos de Poblado Boquer...,,"$479,000",Solar ,"Barrio-Boqueron Marina , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4803942,Boqueron Marina de Sandra Torres Real Estate,0,0,Barrio-Boqueron Marina,Cabo Rojo
"Rancho Las Vegas, Bo Vegas Cayey",3 Cuartos | 1 Baños,"$159,900",Finca,"Barrio-Rancho Las Vegas , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4785282,Rancho Las Vegas de Best Properties Realty Group,3,1,Barrio-Rancho Las Vegas,Cayey
"Casa, Boquerón, 3 cuartos, 1 Baño 295...",3 Cuartos | 1 Baños,"$295,000",Casa ,"Urbanizacion-Lumar , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838395,No Broker,3,1,Urbanizacion-Lumar,Cabo Rojo
Plaza del Prado - Move-in ready 3 BDR...,3 Cuartos | 2 Baños,"$845,000",Apartamento,"Condominio-Plaza Del Prado , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838022,Plaza Del Prado de Elite Realty LLC,3,2,Condominio-Plaza Del Prado,Guaynabo
O'Neil - Int. Milla de Oro & Roosevel...,>=6 Cuartos | 5 Baños,"$1,350,000",Comercial ,"Sector-Hato Rey , San Juan - Hato Rey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4810131,Hato Rey de AIRE,6,5,Sector-Hato Rey,San Juan - Hato Rey
RENTAS 15 MIL. 4 locales   3222 p2 ,>=6 Cuartos | 5 Baños,"$625,000",Comercial,"Barrio-Certenejas , Cidra",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4776451,Certenejas de 1RUIZ REALTY GROUP,6,5,Barrio-Certenejas,Cidra
NUEVO PRECIO APROVECHE AHORA,5 Cuartos | 2 Baños,"$139,500",Comercial ,"Barrio-Pueblo , Guayanilla",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4801218,Pueblo de TRANS GLOBAL REALTY GROUP,5,2,Barrio-Pueblo,Guayanilla
Exclusiva! Villa Caparra propiedad te...,4 Cuartos | 4 Baños,"$1,300,000",Casa,"Urbanizacion-Villa Caparra , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816414,Villa Caparra de Ani Fernandez Real Estate,4,4,Urbanizacion-Villa Caparra,Guaynabo
CABO ROJO - TOPE SIERRA BERMEJA - 25 ...,,"$595,000",Finca ,"Barrio-Llanos Costa , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4653775,Llanos Costa de BM REALTY,0,0,Barrio-Llanos Costa,Cabo Rojo
