Title,Rooms,Price,Type,Location,Link,Broker,Bedrooms,Bathrooms,Neighborhood,City,region
Unique investment opportunity! COCO B...,4 Cuartos | 3 Baños,599000.0,Casa,"Urbanizacion-Coco Beach , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817413,Coco Beach de Enjolie Hernández Real Estate,4,3,Urbanizacion-Coco Beach,Río Grande, east
Se Vende! Casa Bo. Palo Seco en Mauna...,3 Cuartos | 2 Baños,135000.0,Casa,"Barrio-Palo Seco , Maunabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838398,Palo Seco de Betzaida Ortiz  Real Estate,3,2,Barrio-Palo Seco,Maunabo, south
"¡EXCELENTE PROPIEDAD de 5 unds, conve...",>=6 Cuartos | 5 Baños,1500000.0,Casa,"Urbanizacion-Extension Villamar , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4802995,Extension Villamar de Team Realty,6,5,Urbanizacion-Extension Villamar,Carolina - Isla Verde, metro
"Sector Matojo Quebrada Grande, Trujil...",,183000.0,Solar,"Barrio-Quebrada Grande , Trujillo Alto",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4631487,Quebrada Grande de MASTER PROPERTIES,0,0,Barrio-Quebrada Grande,Trujillo Alto, metro
*Rebajada! Finca desarrollada con Per...,,350000.0,Finca,"Urbanizacion-Freire , Cidra",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4770227,Freire de Island Vibes Realty,0,0,Urbanizacion-Freire,Cidra, east
Casa * Bo. Fronto * Ciales,3 Cuartos | 1 Baños,50000.0,Casa,"Barrio-Fronton , Ciales",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838393,Fronton de SKY REALTY (zona 2),3,1,Barrio-Fronton,Ciales, north
Urb. Los Montes en Dorado ,4 Cuartos | 2 Baños,465000.0,Casa,"Urbanizacion-Los Montes De Dorado , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4821516,Los Montes De Dorado de Orlando Rios,4,2,Urbanizacion-Los Montes De Dorado,Dorado, north
Negocio de ferreteria operando,2 Baños,1350000.0,Comercial,"Barrio-Borinquen , Caguas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4730231,Borinquen de Batista Realty Group,0,0,Barrio-Borinquen,Caguas, east
***BARRIO BARROS - 75 CUERDAS***,,590000.0,Finca,"Barrio-Barros , Orocovis",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=3331615,Barros de Kokopelli Real Estate,0,0,Barrio-Barros,Orocovis, south
"Big Lot in Hacienda del Dorado, Toa A...",,249999.0,Solar,"Urbanizacion-Hacienda Del Dorado , Toa Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833615,Hacienda Del Dorado de RE/MAX Dorado Realty,0,0,Urbanizacion-Hacienda Del Dorado,Toa Alta, north
Solar 5 minutos de en Boquerón 1265 m...,,88000.0,Solar,"Barrio-Boqueron , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838396,No Broker,0,0,Barrio-Boqueron,Cabo Rojo, west
One of Two Lots Left Exclusive Puntas...,,498000.0,Solar,"Barrio-Puntas , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4823643,Puntas de Fox Realty,0,0,Barrio-Puntas,Rincón, west
Prime land 25 acres near the coast RT...,,675000.0,Comercial,"Barrio-Vallas Torres Mercedita , Ponce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4827031,Vallas Torres Mercedita de Guarantee Realty,0,0,Barrio-Vallas Torres Mercedita,Ponce, south
"Precio Reducido 32 Cuerdas, Bo. Ciene...",,130000.0,Finca,"Barrio-Cieneguetas , Vega Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4624298,Cieneguetas de Home Connection,0,0,Barrio-Cieneguetas,Vega Alta, north
Urb El Comandante Ave San Marcos CL ,3 Cuartos | 1 Baños,225000.0,Comercial,"Urbanizacion-El Comandante , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4829454,El Comandante de PR Broker,3,1,Urbanizacion-El Comandante,Carolina, metro
"UNICA residencia, Toa Alta - DtMF",5 Cuartos | > Baños,695000.0,Casa,"Urbanizacion-Haciendas El Paraiso , Toa Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838397,No Broker,0,0,Urbanizacion-Haciendas El Paraiso,Toa Alta, north
Solar 2130 MC pasos de Poblado Boquer...,,479000.0,Solar,"Barrio-Boqueron Marina , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4803942,Boqueron Marina de Sandra Torres Real Estate,0,0,Barrio-Boqueron Marina,Cabo Rojo, west
"Rancho Las Vegas, Bo Vegas Cayey",3 Cuartos | 1 Baños,159900.0,Finca,"Barrio-Rancho Las Vegas , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4785282,Rancho Las Vegas de Best Properties Realty Group,3,1,Barrio-Rancho Las Vegas,Cayey, east
"Casa, Boquerón, 3 cuartos, 1 Baño 295...",3 Cuartos | 1 Baños,295000.0,Casa,"Urbanizacion-Lumar , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838395,No Broker,3,1,Urbanizacion-Lumar,Cabo Rojo, west
Plaza del Prado - Move-in ready 3 BDR...,3 Cuartos | 2 Baños,845000.0,Apartamento,"Condominio-Plaza Del Prado , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838022,Plaza Del Prado de Elite Realty LLC,3,2,Condominio-Plaza Del Prado,Guaynabo, metro
O'Neil - Int. Milla de Oro & Roosevel...,>=6 Cuartos | 5 Baños,1350000.0,Comercial,"Sector-Hato Rey , San Juan - Hato Rey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4810131,Hato Rey de AIRE,6,5,Sector-Hato Rey,San Juan - Hato Rey, metro
RENTAS 15 MIL. 4 locales   3222 p2 ,>=6 Cuartos | 5 Baños,625000.0,Comercial,"Barrio-Certenejas , Cidra",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4776451,Certenejas de 1RUIZ REALTY GROUP,6,5,Barrio-Certenejas,Cidra, east
NUEVO PRECIO APROVECHE AHORA,5 Cuartos | 2 Baños,139500.0,Comercial,"Barrio-Pueblo , Guayanilla",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4801218,Pueblo de TRANS GLOBAL REALTY GROUP,5,2,Barrio-Pueblo,Guayanilla, south
Exclusiva! Villa Caparra propiedad te...,4 Cuartos | 4 Baños,1300000.0,Casa,"Urbanizacion-Villa Caparra , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816414,Villa Caparra de Ani Fernandez Real Estate,4,4,Urbanizacion-Villa Caparra,Guaynabo, metro
CABO ROJO - TOPE SIERRA BERMEJA - 25 ...,,595000.0,Finca,"Barrio-Llanos Costa , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4653775,Llanos Costa de BM REALTY,0,0,Barrio-Llanos Costa,Cabo Rojo, west
